,A_Time,B_Mins,C_Vac,D_Iac,E_PF,F_Pac,G_Vdc,H_Idc,I_Pdc,J_Eff,K_Ithd
0,Thu Oct 31 13:51:26 2019,5.0,232.4,12.85,0.9992,2984.2,52.384,61.8,3221.0,92.64824588637069,1.492
1,Thu Oct 31 13:53:28 2019,7.0,232.19,11.582,0.9995,2687.9,52.234,55.48,2886.0,93.13582813582813,1.459
2,Thu Oct 31 13:55:29 2019,9.0,231.97,10.325,0.9996,2394.1,52.079,49.24,2557.0,93.62925303089558,1.392
3,Thu Oct 31 13:57:31 2019,11.0,231.74,9.052,0.9994,2096.4,51.943,42.98,2228.0,94.09335727109516,1.434
4,Thu Oct 31 13:59:32 2019,13.0,231.51,7.743,0.9992,1791.1,51.875,36.54,1893.0,94.61701003697834,1.716
5,Thu Oct 31 14:01:34 2019,15.0,231.28,6.451,0.9992,1490.8,51.855,30.27,1569.0,95.0159337157425,2.128
6,Thu Oct 31 14:03:36 2019,17.0,231.05,5.173,0.9989,1193.9,51.872,24.15,1252.0,95.35942492012781,2.694
7,Thu Oct 31 14:05:38 2019,19.0,230.83,3.88,0.9982,893.9,51.912,18.04,936.0,95.50213675213675,3.483
8,Thu Oct 31 14:07:39 2019,21.0,230.6,2.597,0.9967,596.8,51.97,12.08,628.0,95.03184713375795,4.853
9,Thu Oct 31 14:09:41 2019,23.0,230.38,1.307,0.9903,298.2,52.05,6.19,322.0,92.6086956521739,10.215
10,Thu Oct 31 14:11:43 2019,25.0,230.15,0.873,-0.0517,-10.4,52.158,0.14,7.0,-67.3076923076923,5.849
11,Thu Oct 31 14:16:47 2019,30.0,227.85,12.982,-0.9985,-2953.7,53.637,-50.08,-2705.0,91.58005213799642,1.913
12,Thu Oct 31 14:18:49 2019,32.0,228.08,11.755,-0.9995,-2679.7,53.823,-45.57,-2470.0,92.17449714520282,1.974
13,Thu Oct 31 14:20:50 2019,34.0,228.31,10.452,-0.9994,-2384.8,53.922,-40.76,-2213.0,92.7960415967796,2.119
14,Thu Oct 31 14:22:52 2019,36.0,228.54,9.173,-0.9993,-2095.0,53.98,-36.01,-1956.0,93.36515513126491,2.295
15,Thu Oct 31 14:24:54 2019,39.0,228.78,7.821,-0.9992,-1787.9,54.011,-30.91,-1679.0,93.90905531629285,2.498
16,Thu Oct 31 14:26:56 2019,41.0,229.02,6.512,-0.9989,-1489.8,54.024,-25.9,-1406.0,94.37508390387971,2.796
17,Thu Oct 31 14:28:58 2019,43.0,229.25,5.199,-0.9986,-1190.0,54.019,-20.81,-1128.0,94.78991596638656,3.215
18,Thu Oct 31 14:30:59 2019,45.0,229.48,3.901,-0.9978,-893.2,53.992,-15.67,-848.0,94.93954321540528,3.764
19,Thu Oct 31 14:33:01 2019,47.0,229.7,2.603,-0.9956,-595.4,53.947,-10.38,-561.0,94.22237151494794,4.61
20,Thu Oct 31 14:35:03 2019,49.0,229.93,1.322,-0.9861,-299.8,53.879,-5.07,-274.0,91.39426284189459,27.865
21,Thu Oct 31 14:37:05 2019,51.0,230.16,0.891,-0.0498,-10.2,53.79,0.12,7.0,-68.62745098039215,5.143
